timestamp,ip,url,commands,country,province,city,long,lat
2021-11-23 11:59:30.564,85.240.11.174,,b'enable\r\nsystem\r\nshell\r\nsh',Portugal,Beja,Beja,-7.8155,38.0212
2021-11-23 11:59:30.619,85.240.11.174,,b'cat /proc/mounts; /bin/busybox LJOFI',Portugal,Beja,Beja,-7.8155,38.0212
2021-11-23 11:59:30.670,85.240.11.174,,b'ZG\x00\x00\x00\x05\x00+\x0e\x01\x00',Portugal,Beja,Beja,-7.8155,38.0212
2021-11-23 12:21:07.888,167.248.133.41,,b'enable\r\nsystem\r\nshell\r\nsh',United States,,,-97.822,37.751
2021-11-23 12:21:23.093,167.248.133.41,,b'cat /proc/mounts; /bin/busybox VDNLT',United States,,,-97.822,37.751
2021-11-23 12:21:23.302,167.248.133.41,,b'root',United States,,,-97.822,37.751
2021-11-23 12:21:23.302,167.248.133.41,,b'1111',United States,,,-97.822,37.751
2021-11-23 12:47:20.095,219.91.11.54,,b'enable',Taiwan,Taipei City,Taipei,121.5324,25.0504
2021-11-23 12:47:20.329,219.91.11.54,,b'system\r\nshell\r\nsh\r\n/bin/busybox SATORI',Taiwan,Taipei City,Taipei,121.5324,25.0504
2021-11-23 12:47:20.563,219.91.11.54,,b'enable\r\nsystem\r\nshell\r\nsh',Taiwan,Taipei City,Taipei,121.5324,25.0504
2021-11-23 12:51:25.334,42.118.0.107,,b'cat /proc/mounts; /bin/busybox DTBON',Vietnam,Hanoi,Hanoi,105.8516,21.0313
2021-11-23 12:51:25.554,42.118.0.107,,b'admin',Vietnam,Hanoi,Hanoi,105.8516,21.0313
2021-11-23 12:51:25.852,42.118.0.107,,b'2222',Vietnam,Hanoi,Hanoi,105.8516,21.0313
2021-11-23 12:51:26.162,42.118.0.107,,b'enable',Vietnam,Hanoi,Hanoi,105.8516,21.0313
2021-11-23 12:51:26.372,42.118.0.107,,b'system\r\nshell\r\nsh\r\n/bin/busybox SATORI',Vietnam,Hanoi,Hanoi,105.8516,21.0313
2021-11-23 13:00:29.576,88.135.250.105,,b'root',Ukraine,Dnipropetrovsk Oblast,Kryvyi Rih,33.3901,47.9056
2021-11-23 13:00:44.803,88.135.250.105,,b'nokia',Ukraine,Dnipropetrovsk Oblast,Kryvyi Rih,33.3901,47.9056
2021-11-23 13:00:59.943,88.135.250.105,,b'enable',Ukraine,Dnipropetrovsk Oblast,Kryvyi Rih,33.3901,47.9056
2021-11-23 13:01:15.086,88.135.250.105,,b'system\r\nshell\r\nsh\r\n/bin/busybox SATORI',Ukraine,Dnipropetrovsk Oblast,Kryvyi Rih,33.3901,47.9056
2021-11-23 13:01:30.759,88.135.250.105,,b'ZG\x00\x00\x00\x05\x00+\x0e\x01\x00',Ukraine,Dnipropetrovsk Oblast,Kryvyi Rih,33.3901,47.9056
2021-11-23 13:01:45.896,88.135.250.105,,b'root',Ukraine,Dnipropetrovsk Oblast,Kryvyi Rih,33.3901,47.9056
2021-11-23 13:02:01.036,88.135.250.105,,b'admin',Ukraine,Dnipropetrovsk Oblast,Kryvyi Rih,33.3901,47.9056
2021-11-23 13:02:16.517,88.135.250.105,,b'enable\r\nsystem\r\nshell\r\nsh',Ukraine,Dnipropetrovsk Oblast,Kryvyi Rih,33.3901,47.9056
